query,overlap,tf_top_urls,fuzzy_top_urls
techfix,1,guides-cameras/шаблоооон.html | index.html | gaids/Podklyucheniye LED paneli k elektroseti skhema i bezopasnost.html | gaids/Ustanovka LED-paneli s pomoshch'yu trosov (podvesnoy variant).html | gaids/Kak zakrepit' LED-panel' na stene.html | laptops.html | gaids/Kak-utilizirovat-staryj-televizor.html | gaids/Kak-ustranit-effekt-mertvyh-pikselej-na-LED-paneli.html | gaids/Pochemu-LED-panel-treschit-pri-rabote.html | gaids/Kak-ustranit-zasvety-po-krayam-LED-paneli.html,"laptops.html | gaids/Potsarapali ekran pri neakkuratnoy ochistke (zhostkoy tkan'yu ili khimiyey).html | smartphones.html | consoles.html | gaids/Virusy v Smart TV (naprimer, iz-za komponentov prilozheniy).html | gaids/Uronili televizor pri perenoske ili ustanovke.html | gaids/Zavisaniye sistem (Android TV, Tizen, WebOS i dr.).html | tv.html | gaids/Remont T-Con platy.html | cameras.html"
советы,0,guides-cameras/street-photo.html | gaids/Vliyanie-LED-paneley-na-interer-sovety-dizaynerov.html | guides-cameras/hdr.html | guides-smartphones/best-health-monitoring-apps.html | guides-consoles/ii-assistenty-v-igrah.html | guides-smartphones/best-memory-cards-8k.html | guides-smartphones/best-antivirus-android.html | guides-smartphones/best-astronomy-apps.html | guides-smartphones/phone-thermal-camera.html | guides-large-appliances/remove-plastic-object-from-dishwasher-drum.html,"gaids/Zhivotnyye (koshki, sobaki) pogryzli provoda ili potsarapali ekran.html | guides-auto-electronics/ecall-troubleshooting.html | gaids/Ustanovka RGB-lenty v LED-panel'.html | consoles.html | gaids/Zavisaniye sistem (Android TV, Tizen, WebOS i dr.).html | guides-auto-electronics/auto-brake-settings.html | guides-auto-electronics/smart-home-car-scenarios.html | guides-large-appliances/appliance-sensor-compatibility-check-methods.html | guides-auto-electronics/ota-update-setup.html | guides-auto-electronics/parking-sensor-error-reset.html"
смартфоны,3,guides-cameras/шаблоооон.html | guides-smartphones/transparent-display-phones.html | guides-smartphones/5g-phones-2025.html | guides-smartphones/holographic-display-phones.html | guides-smartphones/ai-chips-future.html | guides-smartphones/eco-phones-2025.html | guides-smartphones/rare-smartphones-world.html | guides-smartphones/retro-trend-phones.html | index.html | guides-smartphones/best-budget-phones-2025.html,smartphones.html | guides-smartphones/5g-phones-2025.html | guides-smartphones/phone-drone-remote.html | guides-smartphones/phone-metal-detector.html | guides-large-appliances/kitchen-hood-bearing-lubrication-guide.html | guides-smartphones/phone-gps-tracker.html | guides-smartphones/modular-camera-phones.html | guides-smartphones/eco-phones-2025.html | guides-smartphones/phone-microscope.html | guides-smartphones/rare-smartphones-world.html
контакты,1,guides-smartphones/restore-deleted-contacts.html | guides-cameras/шаблоооон.html | guides-smartphones/charging-port-contacts-repair.html | guides-auto-electronics/sensor-contacts-cleaning.html | guides-auto-electronics/roof-sensor-error-fix.html | guides-auto-electronics/trunk-organizer-light-off-check.html | guides-large-appliances/samsung-jet-bot-ai-charging-issue.html | guides-cameras/Pochemu fotoapparat ne vidit ob'ektiv.html | guides-smartphones/transfer-data-iphone-android.html | guides-auto-electronics/trunk-sensor-error-fix.html,gaids/Remont T-Con platy.html | auto-electronics.html | guides-auto-electronics/eco-monitoring-settings.html | guides-auto-electronics/sensor-contacts-cleaning.html | guides-auto-electronics/humidity-control-errors.html | guides-auto-electronics/trunk-monitoring-modes.html | smartphones.html | guides-auto-electronics/audio-monitoring-modes.html | guides-large-appliances/ac-noisy-operation.html | guides-large-appliances/salt-container-leak-issue.html
фотоаппараты,0,guides-cameras/шаблоооон.html | index.html | gaids/Podklyucheniye LED paneli k elektroseti skhema i bezopasnost.html | gaids/Ustanovka LED-paneli s pomoshch'yu trosov (podvesnoy variant).html | gaids/Kak zakrepit' LED-panel' na stene.html | guides-cameras/hdr-processing.html | guides-cameras/dynamic-range.html | guides-cameras/lens-cleaning.html | guides-cameras/batch-processing.html | gaids/matrix-cleaning.html,cameras.html | guides-cameras/Kak zamenit displey fotoapparata.html | guides-cameras/Pochemu fotoapparat bystro razryazhaetsya.html | guides-cameras/Pochemu fotoapparat peregrevayetsya.html | guides-cameras/Kak zamenit' displey fotoapparata.html | guides-cameras/Kak snimat' sport na fotoapparat.html | guides-cameras/Kak pravilno khranit fotoapparat.html | guides-cameras/Kak snimat' zvezdy na fotoapparat.html | guides-cameras/Kak snimat timelaps na fotoapparat.html | guides-cameras/Kak nastroit' fotoapparat dlya.html
техника,0,guides-cameras/шаблоооон.html | index.html | gaids/Podklyucheniye LED paneli k elektroseti skhema i bezopasnost.html | gaids/Ustanovka LED-paneli s pomoshch'yu trosov (podvesnoy variant).html | gaids/Kak zakrepit' LED-panel' na stene.html | guides-cameras/hdr-processing.html | laptops.html | guides-cameras/Chto delat esli fotoapparat upal v vodu.html | guides-large-appliances/heater-element-cleaning-troubleshooting.html | gaids/Kak rasshifrovat' markirovku LED-paneli.html,gaids/Tiho igraet TV.html | guides-large-appliances/salt-container-leak-issue.html | articles.html | small-appliances.html | large-appliances.html | guides-large-appliances/coffee-machine-filter-replacement.html | gaids/Remont IK-priyemnika (ne reagiruyet na pul't).html | guides-large-appliances/water-heater-leaking-from-bottom.html | auto-electronics.html | gaids/Remont razyema pitaniya (payka).html
главная,0,guides-cameras/шаблоооон.html | gaids/Podklyucheniye LED paneli k elektroseti skhema i bezopasnost.html | gaids/Ustanovka LED-paneli s pomoshch'yu trosov (podvesnoy variant).html | gaids/Kak zakrepit' LED-panel' na stene.html | gaids/Kak-utilizirovat-staryj-televizor.html | gaids/Problemy s energosberegayushchim rezhimom.html | gaids/Kak-ustranit-effekt-mertvyh-pikselej-na-LED-paneli.html | gaids/Pochemu-LED-panel-treschit-pri-rabote.html | gaids/Kak-ustranit-zasvety-po-krayam-LED-paneli.html | gaids/Potsarapali ekran pri neakkuratnoy ochistke (zhostkoy tkan'yu ili khimiyey).html,"guides-large-appliances/electronic-board-alternative-compatibility-guide.html | guides-large-appliances/temporary-dishwasher-drain-setup.html | gaids/Zashchita-LED-paneley-ot-skachkov-napryazheniya.html | gaids/Ne rabotayet golosovoye upravleniye.html | gaids/LED-panel-v-kachestve-ekrana-dlya-proektora.html | gaids/Problemy s golosovym upravleniyem (Google Assistant, Alexa).html | gaids/Problemy s avtomaticheskoy nastroykoy yarkosti.html | guides-cameras/Pochemu blendа dlya ob'ektiva vazhna.html | guides-large-appliances/washing-machine-frost-protection-tips.html | gaids/Otkaz vstroyennogo kulera (yesli yest' aktivnoye okhlazhdeniye).html"
ноутбуки,1,guides-cameras/шаблоооон.html | index.html | laptops.html | gaids/Podklyucheniye LED paneli k elektroseti skhema i bezopasnost.html | gaids/Ustanovka LED-paneli s pomoshch'yu trosov (podvesnoy variant).html | gaids/Kak zakrepit' LED-panel' na stene.html | gaids/Problemy s podklyucheniyem k monitoru cherez DisplayPort.html | gaids/Kak-utilizirovat-staryj-televizor.html | gaids/Problemy s energosberegayushchim rezhimom.html | gaids/Kak-ustranit-effekt-mertvyh-pikselej-na-LED-paneli.html,"laptops.html | gaids/Ne rabotayet pult DU (seli batareyki, sloman IK-priyomnik).html | gaids/Ispol'zovaniye proyektora s noutbukom.html | consoles.html | auto-electronics.html | gaids/Zamena lampy proyektora svoimi rukami.html | gaids/Zamena podsvetki (LED ili Edge-lit).html | articles.html | guides-large-appliances/no-frost-defrost-sensor-replacement.html | guides-large-appliances/air-conditioner-power-consumption-check-methods.html"
используйте,1,"gaids/Dym ot sigarety ili kukhni osedayet na ekrane i vnutri televizora.html | gaids/Osedaniye bol'shogo kolichestva pyli na platakh.html | gaids/Na ekrane popali bryzgi ot napitkov (chay, kofe, gazirovka).html | gaids/Nastroyka proyektora dlya domashnego kinoteatra.html | gaids/Oshibki pri vosproizvedenii video s USB.html | gaids/Ne rabotayet AirPlay ili Miracast.html | gaids/Kak nastroit' proyektor dlya 3D-meppinga.html | gaids/Kak pravil'no ustanovit' proyektor rasstoyaniye ugol.html | gaids/Zasoreniye ventilyatsionnykh otverstiy pyl'yu.html | gaids/Ispol'zovaniye proyektora na ulitse (zashchita ot vlagi i pyli).html","gaids/Ispol'zovaniye proyektora na ulitse (zashchita ot vlagi i pyli).html | gaids/Mozhno li ispol'zovat' svetodiodnyye paneli na ulitse.html | gaids/Ispol'zovaniye proyektora s noutbukom.html | gaids/Ispol'zovaniye LED-paneley s datchikami dvizheniya.html | guides-large-appliances/ceiling-range-hood-motor-replacement.html | guides-cameras/Ispolzovanie muzyki v slayd-shou.html | gaids/Kak khranit' proyektor, yesli ne ispol'zuyetsya.html | gaids/Optimal'nyye usloviya ekspluatatsii proyektora.html | gaids/Kak-ispolzovat-LED-panel-dlya-fotosemki.html | gaids/Ispol'zovaniye proyektora s saundbarom.html"
телевизоры,0,"guides-cameras/шаблоооон.html | index.html | gaids/Kak-utilizirovat-staryj-televizor.html | gaids/Podklyucheniye LED paneli k elektroseti skhema i bezopasnost.html | gaids/Ustanovka LED-paneli s pomoshch'yu trosov (podvesnoy variant).html | gaids/Kak zakrepit' LED-panel' na stene.html | gaids/Televizor potreblyayet slishkom mnogo energii.html | gaids/Televizor ne podderzhivayet novyy format video (naprimer, AV1).html | gaids/Nesovmestimost' razresheniya TV pristavki kak vystavit' 720p 1080p.html | gaids/teper' na temu Kak pochistit' televizor ot pyli vnutri.html","gaids/Uronili televizor pri perenoske ili ustanovke.html | tv.html | gaids/Kondensat v televizore iz-za rezkogo perepada temperatury.html | gaids/Popali myachom, igrushkoy ili drugim predmetom.html | gaids/Kondensat v televizore iz-za povyshennoy vlazhnosti v pomeshchenii.html | gaids/Televizor izdayet strannyye zvuki (zhuzhzheniye, uchenyye) Hayer S8000.html | gaids/Greyetsya televizor Xiaomi Q2.html | gaids/Televizor ne vidit Wi-Fi set' Haier S8000.html | gaids/teper' na temu Televizor vyklyuchayetsya pri peregreve.html | gaids/Televizor ne vklyuchayetsya posle grozy.html"
приставки,3,gaids/Nesovmestimost' razresheniya TV pristavki kak vystavit' 720p 1080p.html | gaids/Nesovmestimost' pristavki s chastotoy 5 GGts.html | gaids/Net signala na televizore ot TV-pristavki Android TV Box.html | gaids/Sleteli nastroyki kanalov TV-pristavki.html | gaids/Neispravnost' HDMI-kabelya TV-pristavki MAG.html | gaids/Plokhoy kontaktnyy kabel' TV-pristavki Android TV Box.html | gaids/Pristavka zavisayet ili perezagruzhayetsya iz-za peregreva.html | gaids/TV-pristavka ne podklyuchayetsya k Wi-Fi.html | gaids/Nepravil'nyye nastroyki masshtabirovaniya na TV ili pristavke.html | index.html,"consoles.html | gaids/Pristavka DVB-T2 ne nakhodit kanaly.html | gaids/Televizor izdayet strannyye zvuki (zhuzhzheniye, uchenyye) Hayer S8000.html | guides-large-appliances/convection-fan-cleaning-instruction.html | gaids/Problemy s avtootklyucheniyem (taymer sna).html | gaids/Sleteli nastroyki kanalov TV-pristavki.html | gaids/Nesovmestimost' razresheniya TV pristavki kak vystavit' 720p 1080p.html | guides-large-appliances/appliance-sensor-compatibility-check-methods.html | gaids/Pristavka DVB-T2 ne podklyuchayetsya k Wi-Fi.html | gaids/Nesovmestimost' pristavki s chastotoy 5 GGts.html"
